 2019-06-30 16:16 	 LU7DID 	 14.097078 	 -15 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 16:06 	 LU7DID 	 14.097053 	 -20 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 15:56 	 LU7DID 	 14.097063 	 -20 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 15:46 	 LU7DID 	 14.097115 	 -16 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 15:36 	 LU7DID 	 14.097080 	 -28 	 -2 	 GF05te 	 0.1 	 F5OIH 	 JN06ci 	 10759 	 36 
 2019-06-30 15:36 	 LU7DID 	 14.097042 	 -23 	 -2 	 GF05te 	 0.1 	 OE9HLH 	 JN47um 	 11382 	 40 
 2019-06-30 15:26 	 LU7DID 	 14.097042 	 -13 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 15:16 	 LU7DID 	 14.097038 	 -16 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 15:06 	 LU7DID 	 14.097021 	 -29 	 -3 	 GF05te 	 0.1 	 2E0PYB 	 JO01is 	 11209 	 33 
 2019-06-30 15:06 	 LU7DID 	 14.097007 	 -25 	 -3 	 GF05te 	 0.1 	 DK4RW 	 JO40oe 	 11539 	 38 
 2019-06-30 15:06 	 LU7DID 	 14.097007 	 -22 	 -4 	 GF05te 	 0.1 	 OE9HLH 	 JN47um 	 11382 	 40 
 2019-06-30 15:06 	 LU7DID 	 14.097012 	 -19 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 14:56 	 LU7DID 	 14.097159 	 -14 	 -2 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-30 14:46 	 LU7DID 	 14.097047 	 -17 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 14:46 	 LU7DID 	 14.097057 	 -19 	 -4 	 GF05te 	 0.1 	 2E0PYB 	 JO01is 	 11209 	 33 
 2019-06-30 14:36 	 LU7DID 	 14.097106 	 -10 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 14:36 	 LU7DID 	 14.097106 	 -22 	 -3 	 GF05te 	 0.1 	 PI4THT 	 JO32kf 	 11556 	 35 
 2019-06-30 14:26 	 LU7DID 	 14.097021 	 -9 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 14:26 	 LU7DID 	 14.097032 	 -26 	 -2 	 GF05te 	 0.1 	 2E0PYB 	 JO01is 	 11209 	 33 
 2019-06-30 14:16 	 LU7DID 	 14.097020 	 -7 	 -2 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 14:06 	 LU7DID 	 14.097036 	 -11 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-30 14:06 	 LU7DID 	 14.097175 	 -25 	 -2 	 GF05te 	 0.1 	 OE9PTI 	 JN47wk 	 11386 	 40 
 2019-06-30 14:06 	 LU7DID 	 14.097175 	 -2 	 -2 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 13:56 	 LU7DID 	 14.097016 	 -20 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-30 13:56 	 LU7DID 	 14.097155 	 -14 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 13:46 	 LU7DID 	 14.097048 	 -14 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 13:26 	 LU7DID 	 14.097120 	 -26 	 -2 	 GF05te 	 0.1 	 PY2GN 	 GG56tv 	 1623 	 39 
 2019-06-30 13:26 	 LU7DID 	 14.097121 	 -19 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 13:16 	 LU7DID 	 14.097119 	 -18 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 13:16 	 LU7DID 	 14.097121 	 -9 	 -2 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-30 13:06 	 LU7DID 	 14.097121 	 -15 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-30 12:56 	 LU7DID 	 14.097140 	 -4 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-30 12:46 	 LU7DID 	 14.097059 	 -10 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-30 12:46 	 LU7DID 	 14.097056 	 -23 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 12:36 	 LU7DID 	 14.097128 	 -12 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 12:26 	 LU7DID 	 14.097125 	 -25 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-30 12:16 	 LU7DID 	 14.097040 	 -18 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 19:56 	 LU7DID 	 14.097065 	 -19 	 -4 	 GF05te 	 0.1 	 PY1ZB 	 GG87ja 	 1973 	 52 
 2019-06-29 19:46 	 LU7DID 	 14.097123 	 -8 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 19:46 	 LU7DID 	 14.097118 	 -4 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 19:26 	 LU7DID 	 14.097166 	 -14 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 19:06 	 LU7DID 	 14.097136 	 -4 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 18:56 	 LU7DID 	 14.097155 	 -10 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 18:46 	 LU7DID 	 14.097151 	 -14 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 18:36 	 LU7DID 	 14.097033 	 -16 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 18:36 	 LU7DID 	 14.097029 	 -12 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 18:26 	 LU7DID 	 14.097126 	 -4 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 18:16 	 LU7DID 	 14.097020 	 -4 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 18:06 	 LU7DID 	 14.097016 	 -19 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 18:06 	 LU7DID 	 14.097020 	 -15 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 17:46 	 LU7DID 	 14.097082 	 -18 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 17:36 	 LU7DID 	 14.097076 	 -17 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 17:26 	 LU7DID 	 14.097019 	 -14 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 17:26 	 LU7DID 	 14.097022 	 -18 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 17:16 	 LU7DID 	 14.097015 	 -12 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 17:06 	 LU7DID 	 14.097146 	 -17 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 16:56 	 LU7DID 	 14.097062 	 -20 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 16:56 	 LU7DID 	 14.097060 	 -13 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 16:46 	 LU7DID 	 14.097138 	 -13 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 16:36 	 LU7DID 	 14.097075 	 -12 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 16:26 	 LU7DID 	 14.097070 	 -16 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 16:26 	 LU7DID 	 14.097070 	 -18 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 16:16 	 LU7DID 	 14.097149 	 -11 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 16:06 	 LU7DID 	 14.097041 	 -19 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 16:06 	 LU7DID 	 14.097045 	 -25 	 -4 	 GF05te 	 0.1 	 PY2GN 	 GG56tv 	 1623 	 39 
 2019-06-29 16:06 	 LU7DID 	 14.097042 	 -13 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 15:56 	 LU7DID 	 14.097148 	 -8 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 15:46 	 LU7DID 	 14.097064 	 -21 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 15:36 	 LU7DID 	 14.097060 	 -7 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 15:16 	 LU7DID 	 14.097107 	 -16 	 -1 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 15:16 	 LU7DID 	 14.097109 	 -13 	 -2 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 15:06 	 LU7DID 	 14.097110 	 -17 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 15:06 	 LU7DID 	 14.097112 	 -24 	 -3 	 GF05te 	 0.1 	 PY2GN 	 GG56tv 	 1623 	 39 
 2019-06-29 15:06 	 LU7DID 	 14.097113 	 -1 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 14:56 	 LU7DID 	 14.097105 	 -17 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 14:46 	 LU7DID 	 14.097116 	 -21 	 -3 	 GF05te 	 0.1 	 PY2GN 	 GG56tv 	 1623 	 39 
 2019-06-29 14:46 	 LU7DID 	 14.097116 	 -16 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 14:46 	 LU7DID 	 14.097119 	 -3 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 14:36 	 LU7DID 	 14.097031 	 -11 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 14:26 	 LU7DID 	 14.097027 	 -12 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 14:26 	 LU7DID 	 14.097029 	 -6 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 14:06 	 LU7DID 	 14.097150 	 -13 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 14:06 	 LU7DID 	 14.097147 	 -23 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 13:56 	 LU7DID 	 14.097140 	 -15 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 13:56 	 LU7DID 	 14.097143 	 -4 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 13:46 	 LU7DID 	 14.097138 	 -10 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 13:36 	 LU7DID 	 14.097156 	 -3 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 13:36 	 LU7DID 	 14.097155 	 -9 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 13:26 	 LU7DID 	 14.097153 	 -15 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 13:26 	 LU7DID 	 14.097151 	 -15 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 13:06 	 LU7DID 	 14.097048 	 -22 	 -4 	 GF05te 	 0.1 	 PY1ZB 	 GG87ja 	 1973 	 52 
 2019-06-29 13:06 	 LU7DID 	 14.097046 	 -13 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-29 12:56 	 LU7DID 	 14.097049 	 -13 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 12:46 	 LU7DID 	 14.097129 	 -23 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 12:36 	 LU7DID 	 14.097139 	 -19 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-29 12:26 	 LU7DID 	 14.097112 	 -21 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-28 21:26 	 LU7DID 	 14.097063 	 -25 	 -4 	 GF05te 	 0.1 	 2E0PYB 	 JO01is 	 11209 	 33 
 2019-06-28 21:06 	 LU7DID 	 14.097047 	 -26 	 -4 	 GF05te 	 0.1 	 LX1DQ 	 JN39cq 	 11338 	 37 
 2019-06-28 21:06 	 LU7DID 	 14.097050 	 -25 	 -4 	 GF05te 	 0.1 	 PI4THT 	 JO32kf 	 11556 	 35 
 2019-06-28 21:06 	 LU7DID 	 14.097046 	 -25 	 -4 	 GF05te 	 0.1 	 PI9ESA 	 JO22ff 	 11432 	 34 
 2019-06-28 21:06 	 LU7DID 	 14.097100 	 -25 	 -4 	 GF05te 	 0.1 	 DK0VLP 	 JO52ij 	 11772 	 36 
 2019-06-28 21:06 	 LU7DID 	 14.097047 	 -23 	 -4 	 GF05te 	 0.1 	 DK6UG 	 JN49cm 	 11437 	 38 
 2019-06-28 21:06 	 LU7DID 	 14.097061 	 -25 	 -3 	 GF05te 	 0.1 	 DK6UG 	 JN49cm 	 11437 	 38 
 2019-06-28 21:06 	 LU7DID 	 14.097028 	 -29 	 -4 	 GF05te 	 0.1 	 DG0KS 	 JO64ad 	 11959 	 35 
 2019-06-28 21:06 	 LU7DID 	 14.097084 	 -24 	 -4 	 GF05te 	 0.1 	 F5OIH 	 JN06ci 	 10759 	 36 
 2019-06-28 21:06 	 LU7DID 	 14.097063 	 -19 	 -4 	 GF05te 	 0.1 	 2E0PYB 	 JO01is 	 11209 	 33 
 2019-06-28 21:06 	 LU7DID 	 14.097110 	 -26 	 -4 	 GF05te 	 0.1 	 F4UJU 	 JN06 	 10810 	 37 
 2019-06-28 21:06 	 LU7DID 	 14.097047 	 -22 	 -4 	 GF05te 	 0.1 	 DK4RW 	 JO40oe 	 11539 	 38 
 2019-06-28 21:06 	 LU7DID 	 14.097047 	 -24 	 -4 	 GF05te 	 0.1 	 OE9HLH 	 JN47um 	 11382 	 40 
 2019-06-28 21:06 	 LU7DID 	 14.097047 	 -28 	 -4 	 GF05te 	 0.1 	 OE9PTI 	 JN47wk 	 11386 	 40 
 2019-06-28 20:56 	 LU7DID 	 14.097194 	 -26 	 -3 	 GF05te 	 0.1 	 DG0KS 	 JO64ad 	 11959 	 35 
 2019-06-28 20:56 	 LU7DID 	 14.097155 	 -19 	 -4 	 GF05te 	 0.1 	 DK0ABT 	 JN49pb 	 11465 	 38 
 2019-06-28 20:56 	 LU7DID 	 14.097189 	 -24 	 -4 	 GF05te 	 0.1 	 F5VBD 	 JN25xo 	 11026 	 40 
 2019-06-28 20:46 	 LU7DID 	 14.097067 	 -23 	 -4 	 GF05te 	 0.1 	 OE9PTI 	 JN47wk 	 11386 	 40 
 2019-06-28 20:46 	 LU7DID 	 14.097067 	 -20 	 -4 	 GF05te 	 0.1 	 OE9HLH 	 JN47um 	 11382 	 40 
 2019-06-28 20:46 	 LU7DID 	 14.097067 	 -22 	 -4 	 GF05te 	 0.1 	 DK6UG 	 JN49cm 	 11437 	 38 
 2019-06-28 20:46 	 LU7DID 	 14.097009 	 -19 	 -4 	 GF05te 	 0.1 	 DK0ABT 	 JN49pb 	 11465 	 38 
 2019-06-28 20:46 	 LU7DID 	 14.097066 	 -28 	 -4 	 GF05te 	 0.1 	 DK8FT 	 JN58oe 	 11516 	 40 
 2019-06-28 20:46 	 LU7DID 	 14.097069 	 -27 	 -3 	 GF05te 	 0.1 	 PI4THT 	 JO32kf 	 11556 	 35 
 2019-06-28 20:46 	 LU7DID 	 14.097119 	 -23 	 -4 	 GF05te 	 0.1 	 DK0VLP 	 JO52ij 	 11772 	 36 
 2019-06-28 20:46 	 LU7DID 	 14.097038 	 -22 	 -4 	 GF05te 	 0.1 	 DL6YCU 	 JO31ws 	 11577 	 36 
 2019-06-28 20:46 	 LU7DID 	 14.097128 	 -28 	 -4 	 GF05te 	 0.1 	 F4UJU 	 JN06 	 10810 	 37 
 2019-06-28 20:46 	 LU7DID 	 14.096999 	 -28 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-28 20:46 	 LU7DID 	 14.097103 	 -24 	 -4 	 GF05te 	 0.1 	 F5OIH 	 JN06ci 	 10759 	 36 
 2019-06-28 20:46 	 LU7DID 	 14.097082 	 -28 	 -4 	 GF05te 	 0.1 	 2E0PYB 	 JO01is 	 11209 	 33 
 2019-06-28 20:46 	 LU7DID 	 14.097068 	 -26 	 -3 	 GF05te 	 0.1 	 DL9GCW 	 JN48vc 	 11428 	 39 
 2019-06-28 20:46 	 LU7DID 	 14.097081 	 -22 	 -4 	 GF05te 	 0.1 	 DK6UG 	 JN49cm 	 11437 	 38 
 2019-06-28 20:46 	 LU7DID 	 14.097067 	 -22 	 -4 	 GF05te 	 0.1 	 DK4RW 	 JO40oe 	 11539 	 38 
 2019-06-28 20:36 	 LU7DID 	 14.097111 	 -27 	 -4 	 GF05te 	 0.1 	 OE9HGV 	 JN47wk 	 11386 	 40 
 2019-06-28 20:36 	 LU7DID 	 14.097113 	 -27 	 -3 	 GF05te 	 0.1 	 OE9PTI 	 JN47wk 	 11386 	 40 
 2019-06-28 20:36 	 LU7DID 	 14.097113 	 -23 	 -4 	 GF05te 	 0.1 	 OE9HLH 	 JN47um 	 11382 	 40 
 2019-06-28 19:56 	 LU7DID 	 14.097171 	 -26 	 -3 	 GF05te 	 0.1 	 DK6UG 	 JN49cm 	 11437 	 38 
 2019-06-28 19:26 	 LU7DID 	 14.097004 	 -25 	 -3 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-28 19:16 	 LU7DID 	 14.097069 	 -23 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-28 19:16 	 LU7DID 	 14.097000 	 -27 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-28 19:06 	 LU7DID 	 14.097044 	 -23 	 -3 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-28 18:56 	 LU7DID 	 14.097140 	 -23 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-28 18:46 	 LU7DID 	 14.097136 	 -21 	 -4 	 GF05te 	 0.1 	 PY1EME 	 GG76qt 	 1856 	 50 
 2019-06-28 18:46 	 LU7DID 	 14.097140 	 -27 	 -4 	 GF05te 	 0.1 	 PY1ZB 	 GG87ja 	 1973 	 52 
 2019-06-28 18:46 	 LU7DID 	 14.097067 	 -13 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-28 18:26 	 LU7DID 	 14.097187 	 -14 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
 2019-06-28 18:16 	 LU7DID 	 14.097036 	 -21 	 -4 	 GF05te 	 0.1 	 PY2SDR 	 GG56tv 	 1623 	 39 
